tex,20160420,hou,8.5
atl,20160421,lan,6.5
bal,20160421,tor,8.5
bos,20160421,tba,8.5
cha,20160421,ana,10
cin,20160421,chn,7.5
cle,20160421,sea,9
kca,20160421,det,8.5
mia,20160421,was,7
mil,20160421,min,9
nya,20160421,oak,8
sdn,20160421,pit,7
sfn,20160421,ari,7.5
tex,20160421,hou,8.5
ana,20160422,sea,7.5
ari,20160422,pit,9
atl,20160422,nyn,8
cha,20160422,tex,7.5
cin,20160422,chn,8.5
col,20160422,lan,11
det,20160422,cle,8
hou,20160422,bos,8.5
kca,20160422,bal,8.5
mil,20160422,phi,8
nya,20160422,tba,9
sdn,20160422,sln,7
sfn,20160422,mia,7.5
tor,20160422,oak,8
was,20160422,min,8
ana,20160423,sea,7
ari,20160423,pit,9
atl,20160423,nyn,7.5
cha,20160423,tex,8
cin,20160423,chn,8.5
col,20160423,lan,11
det,20160423,cle,7.5
hou,20160423,bos,8
kca,20160423,bal,9
mil,20160423,phi,8.5
nya,20160423,tba,7.5
sdn,20160423,sln,7
sfn,20160423,mia,7
tor,20160423,oak,8.5
was,20160423,min,8
ana,20160424,sea,8
ari,20160424,pit,8.5
atl,20160424,nyn,7.5
cha,20160424,tex,8.5
cin,20160424,chn,9
col,20160424,lan,11
det,20160424,cle,8
hou,20160424,bos,9
kca,20160424,bal,8.5
mil,20160424,phi,8.5
nya,20160424,tba,7.5
sdn,20160424,sln,7.5
sfn,20160424,mia,8
tor,20160424,oak,9
was,20160424,min,7
ana,20160425,kca,7
ari,20160425,sln,7.5
atl,20160425,bos,7.5
col,20160425,pit,12
det,20160425,oak,8.5
lan,20160425,mia,7.5
min,20160425,cle,8
nyn,20160425,cin,6.5
sea,20160425,hou,7.5
sfn,20160425,sdn,6.5
tba,20160425,bal,7
tex,20160425,nya,9
tor,20160425,cha,8.5
ana,20160426,kca,7.5
ari,20160426,sln,8.5
atl,20160426,bos,7
chn,20160426,mil,7.5
col,20160426,pit,10
det,20160426,oak,9
lan,20160426,mia,6.5
min,20160426,cle,8.5
nyn,20160426,cin,7
sea,20160426,hou,7
sfn,20160426,sdn,7
tba,20160426,bal,7.5
tex,20160426,nya,9
tor,20160426,cha,8
was,20160426,phi,7
ana,20160427,kca,7.5
ari,20160427,sln,9
bos,20160427,atl,9
col,20160427,pit,10.5
det,20160427,oak,7.5
lan,20160427,mia,7.5
min,20160427,cle,8
nyn,20160427,cin,7.5
sea,20160427,hou,7.5
sfn,20160427,sdn,7.5
tba,20160427,bal,7.5
tex,20160427,nya,9
tor,20160427,cha,8
was,20160427,phi,7
ari,20160428,sln,8.5
bal,20160428,cha,8.5
